id,club_code,current_club,previous_club,first_name,middle_name,last_name,jersey_name,jersey_number,nationality,position,appearances,substitute_appearances,goals_scored,own_goals,assists_made
3310,BOU,Bournemouth,Liverpool,Jordon,,Ibe,Ibe,10,England,Midfielder,2.0,2.0,0.0,0.0,0.0
3311,BOU,Bournemouth,Leyton Orient,Charlie,,Daniels,Daniels,11,England,Defender,3.0,0.0,0.0,0.0,0.0
3312,BOU,Bournemouth,Sheffield United,Aaron,,Ramsdale,Ramsdale,12,England,Goalkeeper,,,,,
3313,BOU,Bournemouth,Coventry City,Callum,,Wilson,Wilson,13,England,Forward,4.0,0.0,2.0,0.0,1.0
3314,BOU,Bournemouth,Tottenham Hotspur,Adam,,Smith,Smith,15,England,Defender,4.0,0.0,0.0,0.0,0.0
3315,BOU,Bournemouth,Leeds United,Lewis,,Cook,Cook,16,England,Midfielder,3.0,3.0,0.0,0.0,0.0
3316,BOU,Bournemouth,Blackburn Rovers,Joshua,,King,King,17,Norway,Forward,4.0,0.0,1.0,0.0,0.0
3317,BOU,Bournemouth,Sunderland,Jermain,,Defoe,Defoe,18,England,Forward,1.0,1.0,0.0,0.0,0.0
3318,BOU,Bournemouth,Burnley,Junior,,Stanislas,Stanislas,19,England,Midfielder,,,,,
3319,BOU,Bournemouth,Sheffield United,David,,Brooks,Brooks,20,England,Midfielder,3.0,0.0,0.0,0.0,0.0
3320,BOU,Bournemouth,Leganés,Diego,,Rico,Rico,21,Spain,Defender,1.0,0.0,0.0,0.0,0.0
3321,BOU,Bournemouth,Aberdeen,Ryan,,Fraser,Fraser,24,Scotland,Midfielder,4.0,0.0,1.0,0.0,1.0
3322,BOU,Bournemouth,,Jack,,Simpson,Simpson,25,England,Defender,,,,,
3323,BOU,Bournemouth,Ipswich Town,Tyrone,,Mings,Mings,26,England,Defender,,,,,
3324,BOU,Bournemouth,Chelsea,Asmir,,Begović,Begović,27,Bosnia and Herzegovina,Goalkeeper,4.0,0.0,0.0,0.0,0.0
3325,BOU,Bournemouth,,Kyle,,Taylor,Taylor,28,England,Midfielder,,,,,
3326,BOU,Bournemouth,Watford,Will,,Dennis,Dennis,40,England,Goalkeeper,,,,,
3327,BOU,Bournemouth,,Jordan,,Holmes,Holmes,41,Australia,Goalkeeper,,,,,
3328,BOU,Bournemouth,Shamrock Rovers,Mark,,Travers,Travers,42,Ireland,Goalkeeper,,,,,
3330,BOU,Bournemouth,,Corey,,Jordan,Jordan,46,England,Defender,,,,,
